page_group,page_name,link_url,geo_region,device_type,country_of_page,pv,ct
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-A,Home,https://www.example.com,NA,Android,en_US,,1
Group-B,AccountOverview,https://www.example.com/overview,NA,Android,en_US,1,
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-D,Browse,https://www.example.com/browse,EU,Android,en_US,,1
Group-C,Details,https://www.example.com/details,APAC,iOS,en_US,,1
Group-D,Shop,https://www.example.com/buy,MENA,iOS,en_US,1,
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
Group-A,Payment,https://www.example.com/pay,NA,Android,en_US,,1
Group-B,Preferences,https://www.example.com/settings,EU,iOS,en_US,1,
Group-C,Signup,https://www.example.com/new,NA,Android,en_US,,1
